hour,count
0,1386
1,1247
2,1270
3,615
4,446
5,611
6,1229
7,2309
8,3433
9,3261
10,2805
11,3040
12,3230
13,3443
14,3672
15,4001
16,4187
17,4614
18,4424
19,3222
20,2674
21,2486
22,2266
23,1829
