year,count
2005,3253
2006,2896
2007,3065
2008,3039
2009,2900
2010,3095
2011,3097
2012,3269
2013,3069
2014,2967
2015,3055
2016,3323
2017,3427
2018,3301
2019,3481
2020,2451
2021,2757
2022,2881
2023,2923
2024,3014
2025,437
